sequence,stamp_ns,submap,online_x,online_y,online_yaw,optimized_x,optimized_y,optimized_yaw
0,1333736129871894972,0,0,0,0,-2.0325532861370034e-20,-3.5862705673810959e-20,6.5252267809787936e-21
1,1333736129921899972,0,-0.0025593557247889412,0.00047685756999413524,-0.00043862949481920937,-0.0025593557247889412,0.00047685756999413519,-0.00043862949481920937
2,1333736129971897972,0,-0.00079242643118615638,-0.00093634297967069879,1.4339875598204059e-05,-0.00079242643118615638,-0.00093634297967069879,1.4339875598204066e-05
3,1333736130021895972,0,-0.0015518669885597426,0.0012325424441398274,-0.0005206016819864302,-0.0015518669885597426,0.0012325424441398274,-0.0005206016819864302
4,1333736130071896972,0,-0.00097889277490703034,0.0025933336954505359,-0.00025336015826715101,-0.00097889277490703034,0.0025933336954505359,-0.00025336015826715101
5,1333736130121894972,0,-0.0032612165648011459,0.0017744932038222978,-0.0011199788665960772,-0.0032612165648011459,0.0017744932038222978,-0.0011199788665960772
6,1333736130171894972,0,-0.0013836489464835518,0.0025513257523763133,-0.00050914884489174962,-0.0013836489464835518,0.0025513257523763133,-0.00050914884489174962
7,1333736130221893972,0,-0.0018847959608240283,0.0002224421150738903,-0.00011446938790644226,-0.0018847959608240283,0.00022244211507389027,-0.00011446938790644226
8,1333736130271894972,0,-0.0020091190979197831,-0.0027444381841016225,0.00067131775551426969,-0.0020091190979197831,-0.0027444381841016225,0.00067131775551426969
9,1333736130321894972,0,-0.0010965199131949381,0.00066688708230657444,-9.8874395583778749e-05,-0.0010965199131949381,0.00066688708230657444,-9.8874395583778749e-05
10,1333736130371898972,0,0.00065021515050966657,0.00053509649690558947,6.7547811714947586e-05,0.00065021515050966657,0.00053509649690558947,6.7547811714947586e-05
11,1333736130421894972,0,-0.0031026745543154058,0.00020713018882083649,-0.0003004082852007505,-0.0031026745543154058,0.00020713018882083647,-0.0003004082852007505
12,1333736130471894972,0,-0.00039755529712375394,0.0007193534807586209,-0.00015738673066494226,-0.00039755529712375389,0.0007193534807586209,-0.00015738673066494226
13,1333736130521896972,0,-0.0021516926516324864,-0.00051758928514001907,-0.00044681224861599486,-0.0021516926516324864,-0.00051758928514001907,-0.00044681224861599486
14,1333736130571892972,0,-0.0015849164703583677,0.0016574165234668988,-0.00065577418571638934,-0.0015849164703583677,0.0016574165234668988,-0.00065577418571638934
